Project_id,Project_Name,Department,Start_Date,End_Date,Budget,TASK_COUNT,,,
PRJ001,Cloud Migration Phase 1,IT,01-01-2024,30-06-2024," ? 5,00,000.00 ",5,,,
PRJ002,Website Redesign,Marketing,15-02-2024,15-08-2024," ? 2,00,000.00 ",4,,,
PRJ003,Employee Onboarding Revamp,HR,01-03-2024,01-06-2024," ? 75,000.00 ",3,,,
PRJ004,Mobile App Development,IT,01-04-2024,01-11-2024," ? 3,50,000.00 ",4,,,
PRJ005,Office Relocation,Operations,01-05-2024,01-08-2024," ? 1,20,000.00 ",3,,,
PRJ006,Data Warehouse Modernization,IT,01-02-2024,31-12-2024," ? 8,00,000.00 ",3,,,
PRJ007,Brand Awareness Campaign,Marketing,15-03-2024,15-09-2024," ? 1,80,000.00 ",3,,,
PRJ008,ERP System Upgrade,IT,01-06-2024,01-03-2025," ? 6,00,000.00 ",3,,,
PRJ009,Sales Training Program,Sales,01-07-2024,01-09-2024," ? 40,000.00 ",3,,,
PRJ010,Customer Portal Launch,IT,01-08-2024,01-02-2025," ? 4,50,000.00 ",3,,,
PRJ011,Supply Chain Optimization,Operations,15-01-2024,15-07-2024," ? 2,50,000.00 ",3,,,
PRJ012,Diversity & Inclusion Initiative,HR,01-04-2024,01-10-2024," ? 55,000.00 ",3,,,
PRJ013,CRM Implementation,Sales,01-05-2024,01-12-2024," ? 3,20,000.00 ",3,,,
PRJ014,Social Media Strategy,Marketing,01-06-2024,01-12-2024," ? 90,000.00 ",3,,,
PRJ015,Cybersecurity Enhancement,IT,15-03-2024,15-09-2024," ? 4,00,000.00 ",3,,,
PRJ016,Leadership Development,HR,01-08-2024,01-02-2025," ? 65,000.00 ",3,,answer,Question
PRJ017,E-commerce Platform Upgrade,IT,01-09-2024,01-04-2025," ? 5,50,000.00 ",3,,0,number of IT
PRJ018,Product Launch Campaign,Marketing,01-07-2024,01-01-2025," ? 2,10,000.00 ",3,," ? 15,25,000.00 ",total budget of marketing department
PRJ019,Vendor Management System,Operations,01-10-2024,01-06-2025," ? 2,80,000.00 ",2,, ? 75.00 ,overal sum of budget
PRJ020,AI Chatbot Implementation,IT,15-06-2024,15-12-2024," ? 3,20,000.00 ",3,,,
PRJ021,Employee Wellness Program,HR,01-02-2024,01-08-2024," ? 30,000.00 ",3,,,
PRJ022,Field Service Mobile App,IT,01-03-2024,01-09-2024," ? 2,70,000.00 ",2,,,
PRJ023,Market Expansion Analysis,Sales,15-04-2024,15-10-2024," ? 95,000.00 ",2,,,
PRJ024,Internal Knowledge Base,IT,01-05-2024,01-11-2024," ? 1,30,000.00 ",2,,,
PRJ025,Sustainability Report,Operations,01-06-2024,01-09-2024," ? 25,000.00 ",2,,,
PRJ026,DevOps Pipeline Automation,IT,15-07-2024,15-01-2025," ? 3,80,000.00 ",1,,,
PRJ027,Recruitment Process Redesign,HR,01-08-2024,01-12-2024," ? 42,000.00 ",0,,,
PRJ028,Content Marketing Engine,Marketing,01-09-2024,01-03-2025," ? 1,60,000.00 ",0,,,
PRJ029,IT Service Desk Upgrade,IT,01-01-2024,01-07-2024," ? 1,90,000.00 ",0,,,
PRJ030,Warehouse Layout Optimization,Operations,15-02-2024,15-08-2024," ? 3,10,000.00 ",0,,,
PRJ031,Sales Forecasting Tool,Sales,01-03-2024,01-09-2024," ? 1,10,000.00 ",0,,,
PRJ032,HR Analytics Dashboard,HR,01-04-2024,01-10-2024," ? 68,000.00 ",0,,,
PRJ033,Zero?Trust Security Model,IT,15-05-2024,15-11-2024," ? 5,20,000.00 ",0,,,
PRJ034,Customer Loyalty Program,Marketing,01-06-2024,01-12-2024," ? 1,45,000.00 ",0,,,
PRJ035,Fleet Management System,Operations,01-07-2024,01-01-2025," ? 3,60,000.00 ",0,,,
PRJ036,BI Platform Migration,IT,15-08-2024,15-02-2025," ? 4,70,000.00 ",0,,,
PRJ037,Performance Review Revamp,HR,01-09-2024,01-03-2025," ? 49,000.00 ",0,,,
PRJ038,Video Marketing Series,Marketing,01-10-2024,01-04-2025," ? 1,25,000.00 ",0,,,
PRJ039,Invoice Automation,Operations,01-01-2024,01-05-2024," ? 70,000.00 ",0,,,
PRJ040,Data Lake Architecture,IT,15-03-2024,15-09-2024," ? 6,90,000.00 ",0,,,
PRJ041,Sales Playbook Creation,Sales,01-04-2024,01-08-2024," ? 35,000.00 ",0,,,
PRJ042,Mental Health Support App,HR,01-05-2024,01-11-2024," ? 85,000.00 ",0,,,
PRJ043,Microservices Migration,IT,15-06-2024,15-12-2024," ? 5,80,000.00 ",0,,,
PRJ044,Event Management Platform,Marketing,01-07-2024,01-01-2025," ? 1,95,000.00 ",0,,,
PRJ045,Warehouse Robotics Pilot,Operations,01-08-2024,01-02-2025," ? 4,20,000.00 ",0,,,
PRJ046,Contract Lifecycle Mgmt,Sales,15-09-2024,15-03-2025," ? 1,40,000.00 ",0,,,
PRJ047,Employee Recognition System,HR,01-10-2024,01-04-2025," ? 38,000.00 ",0,,,
PRJ048,API Gateway Implementation,IT,01-11-2024,01-05-2025," ? 3,30,000.00 ",0,,,
PRJ049,Brand Refresh,Marketing,15-11-2024,15-05-2025," ? 2,20,000.00 ",0,,,
PRJ050,Digital Twin Pilot,Operations,01-12-2024,01-06-2025," ? 7,50,000.00 ",0,,,
